plantID,site,species,site-species,growthform,phenophase,year,estimate,doy1,doy2,doy-diff
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,new growth end,2016,153,153,167,14
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,first color,2016,224,221,224,3
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,leaves shed end,2016,291,284,291,7
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,first flower,2017,136,131,136,5
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,peak flower,2017,140,139,142,3
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,last flower,2017,142,142,156,14
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,first color,2017,201,198,201,3
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,leaves shed end,2017,290,282,290,8
NEON.PLA.D01.BART.06500,BART,ACRU,BART-ACRU,Deciduous broadleaf,new growth start,2016,123,120,123,3
NEON.PLA.D01.BART.06500,BART,ACRU,BART-ACRU,Deciduous broadleaf,new growth end,2016,153,153,167,14
NEON.PLA.D01.BART.06500,BART,ACRU,BART-ACRU,Deciduous broadleaf,first color,2016,235,231,235,4
NEON.PLA.D01.BART.06500,BART,ACRU,BART-ACRU,Deciduous broadleaf,leaves shed end,2016,291,284,291,7
NEON.PLA.D01.BART.06500,BART,ACRU,BART-ACRU,Deciduous broadleaf,new growth start,2017,125,122,125,3
NEON.PLA.D01.BART.06500,BART,ACRU,BART-ACRU,Deciduous broadleaf,new growth end,2017,142,142,156,14
